Timestamp,index,Open,High,Low,Close,Volume,value,value_classification,daily_std,MA7,MA30,market_regime,mempool_transaction_count,MempoolSizeBytes,avg_fee_usd
2018-06-03,122,7659.62,7790.69,7581.03,7709.25,4221.22804114,40.0,Fear,104.82999999999991,7481.178571428572,8241.576333333334,0,7.93688722617863,16.525874776883146,3.741625579231661
2018-06-04,123,7701.37,7764.44,7449.68,7499.99,6881.02778141,41.0,Fear,157.37999999999963,7518.431428571428,8163.640333333333,0,8.318044600853353,17.186805760713906,3.416904675413194
2018-06-05,124,7499.99,7685.0,7360.0,7620.0,9813.63875655,26.0,Fear,162.5,7539.860000000001,8101.361333333333,0,8.302982711422889,17.05806201655097,3.5252910608647614
2018-06-06,125,7620.0,7685.0,7482.61,7527.99,6782.42771914,42.0,Fear,101.19500000000016,7570.421428571428,8038.236666666667,0,8.287690487789902,16.910259419530163,3.600315116543306
2018-06-07,126,7527.99,7750.0,7510.72,7692.51,8251.72686914,38.0,Fear,119.63999999999989,7592.281428571428,7986.675333333333,0,8.272160775625624,16.736758017374928,3.704521933141024
2018-06-08,127,7690.65,7697.93,7542.0,7630.7,4816.62482582,40.0,Fear,77.96500000000015,7620.012857142857,7931.640666666667,0,7.977215852676324,16.11032228392138,4.038657383814685
2018-06-09,128,7630.9,7686.45,7573.36,7619.0,2113.6983681,39.0,Fear,56.54500000000007,7614.205714285714,7882.638999999999,0,7.557064854928544,14.062920448100272,4.502399089286937
2018-06-10,129,7619.0,7636.59,6627.7,6839.6,12221.36336692,24.0,Extreme Fear,504.44500000000016,7489.969999999999,7823.509,0,7.589252834142904,13.999551246013963,4.405471734332841
2018-06-11,130,6841.41,6843.35,6634.86,6757.23,13247.34099523,15.0,Extreme Fear,104.24500000000036,7383.861428571428,7765.679,0,7.620436974919081,13.931893067044706,4.403560580529635
2018-06-12,131,6757.52,6919.97,6461.42,6514.6,8214.49300541,19.0,Extreme Fear,229.2750000000001,7225.947142857142,7695.306333333333,0,7.975268299986983,15.315219154582092,3.997087223187877
2018-06-13,132,6511.81,6624.45,6120.0,6292.5,19543.95812112,19.0,Extreme Fear,252.2249999999999,7049.448571428571,7613.156666666666,0,8.236638436960614,15.874410183281723,3.685724188584341
2018-06-14,133,6286.39,6708.1,6230.87,6644.89,14744.05479315,17.0,Extreme Fear,238.61500000000024,6899.788571428571,7549.466333333333,0,8.237397991217378,15.408375830416071,3.7239108854387575
2018-06-15,134,6644.69,6691.28,6473.0,6551.46,7135.62754013,26.0,Fear,109.13999999999989,6745.611428571428,7492.757666666667,0,8.238156968989317,14.507806503931,3.6932028377605
2018-06-16,135,6550.94,6557.82,6333.63,6490.63,4092.65058291,22.0,Extreme Fear,112.0949999999998,6584.415714285715,7436.567666666667,0,7.798754911917022,14.039730933461827,4.626063988376319
2018-06-17,136,6497.91,6575.35,6450.0,6512.35,2530.40811595,23.0,Extreme Fear,62.67500000000018,6537.665714285714,7379.265333333334,0,6.99628590064049,13.131115476225194,5.76488118953616
2018-06-18,137,6513.59,6793.0,6381.25,6693.06,6130.36345663,27.0,Fear,205.875,6528.498571428572,7325.263333333333,0,7.959215904155141,14.242651807306572,5.078706307374263
